customer_city,total_sales
arapiraca,8728.71
igrejinha,1173.0300000000002
redencao da serra,89.9
camacari,7240.240000000001
iepe,289.58
itaberaba,989.26
brusque,8421.550000000001
ijui,5584.450000000001
itaperucu,635.84
itanhaem,9727.09
boa vista,6967.57
cachoeira paulista,3292.0000000000005
carapicuiba,31769.85
sao joao de meriti,17777.56
iracemapolis,1251.88
garca,2918.41
cocalinho,418.87
caico,2723.2000000000003
araras,13187.38
nova friburgo,27345.100000000002
jacutinga,2720.2100000000005
sao pedro da aldeia,4672.429999999999
sao francisco de paula,599.68
itatim,312.69
piumhii,3707.3100000000004
santa maria da vitoria,1710.55
orizona,546.81
iguape,1359.5700000000004
taquara,4427.54
esperanca,1720.38
nova canaa paulista,109.89000000000001
santos,98309.40999999996
itapecerica da serra,8399.01
itabela,423.89
primavera,996.78
itabuna,7874.549999999999
duartina,1252.67
salinas,4986.7699999999995
soledade de minas,309.94000000000005
ceu azul,382.56
maracaju,2791.96
euclides da cunha,524.18
matinhos,2862.15
mondai,409.0
ibitinga,2911.26
palestina,499.54999999999995
brumadinho,2258.2300000000005
cuiaba,38178.84
alagoinhas,6249.229999999999
franco da rocha,10073.2
ibiruba,3155.8
sertaozinho,6724.23
pacaja,2651.0599999999995
macaparana,144.88
astorga,411.77
cotia,29403.840000000004
marilia,33664.130000000005
rio grande,16189.979999999998
araruama,16889.309999999998
votorantim,10757.469999999998
sao luiz gonzaga,3298.01
itabira,10069.51
conselheiro lafaiete,9015.56
piracaia,2466.9300000000003
floreal,192.89000000000001
suzano,24549.899999999998
varzea da palma,2171.7700000000004
guaranesia,805.5799999999999
jacinto machado,260.49
benedito novo,945.74
venancio aires,2764.6200000000003
nantes,79.0
macau,998.88
redencao,2527.93
sao luis,50141.82000000001
dobrada,437.5
sapopema,154.98000000000002
vertentes,23.99
ipiau,697.27
ourinhos,12543.029999999999
chale,116.4
pomerode,1579.3600000000001
sao joao evangelista,1062.76
teresopolis,17115.29
santa barbara d'oeste,13072.080000000002
portao,772.15
novo hamburgo,17168.13
uruara,962.4000000000001
toledo,10053.64
atibaia,20343.73
rio negro,2105.8700000000003
araucaria,5086.099999999999
ananindeua,17709.44
tres marias,840.4399999999999
barra do tarrachil,272.9
aracoiaba da serra,1511.5700000000002
ilheus,8546.76
barra velha,1684.0100000000002
paraguacu paulista,2766.8
ibirapua,122.99
jaguaribe,663.98
goiana,695.63
loanda,1704.36
mogi das cruzes,50295.68
divinopolis,34932.97
americo brasiliense,2360.1000000000004
pelotas,22257.230000000003
lunardelli,214.89
ipojuca,1530.3000000000002
azurita,169.70000000000002
guaraniacu,385.97
rio novo,536.79
laguna,2202.73
mogi mirim,8833.970000000001
sao gotardo,2479.38
papanduva,669.41
caravelas,356.4
